lat,lon,amenity,name,area_name,has_wikidata,count,rating,rating_num
49.2796207,-123.1011093,restaurant,Gold Stone Bakery & Restaurant,Downtown,False,1,4.1,399.0
49.2821955,-123.1024011,bar,Back and Forth Bar,Downtown,False,1,4.2,381.0
49.2831638,-123.1035309,restaurant,The Sardine Can,Downtown,False,1,4.4,201.0
49.284169,-123.1073434,bar,131 Water Kitchen & Bar,Downtown,False,1,3.8,416.0
49.2834234,-123.1064112,restaurant,Jules Bistro,Downtown,False,1,4.3,529.0
49.2731066,-123.1007271,cafe,Tim Hortons,Downtown,True,38,3.1,60.0
49.2387806,-123.0316319,cafe,Tim Hortons,Renfrew-Collingwood,True,38,3.6,863.0
49.2859029,-123.1249177,cafe,Tim Hortons,West End,True,38,3.8,435.0
49.2262222,-123.1287693,fast_food,Tim Hortons,Oakridge,False,38,3.6,123.0
49.2635191,-123.1231332,cafe,Tim Hortons,Fairview,True,38,3.3,503.0
49.2865567,-123.1410036,cafe,Tim Hortons,West End,True,38,3.7,517.0
49.2347512,-123.1582643,cafe,Tim Hortons,Arbutus-Ridge,True,38,3.7,348.0
49.2311162,-123.0904218,fast_food,Tim Hortons,Sunset,False,38,3.8,596.0
49.2639234,-123.2061777,cafe,Tim Hortons,West Point Grey,True,38,3.3,380.0
49.2893869,-123.1388596,cafe,Tim Hortons,West End,True,38,3.1,375.0
49.2860889,-123.1163367,cafe,Tim Hortons,Downtown,True,38,3.7,293.0
49.2832205,-123.1155257,cafe,Tim Hortons,Downtown,True,38,3.7,157.0
49.2870412,-123.1283167,cafe,Tim Hortons,West End,True,38,3.7,517.0
49.2593387,-123.0445903,cafe,Tim Hortons,Renfrew-Collingwood,False,38,3.7,697.0
49.2329446,-123.0653099,cafe,Tim Hortons,Kensington-Cedar Cottage,True,38,3.6,268.0
49.2848332,-123.1209459,cafe,Tim Hortons,Downtown,True,38,3.5,527.0
49.2627882,-123.1012573,cafe,Tim Hortons,Mount Pleasant,True,38,3.7,451.0
49.2658085,-123.1223088,cafe,Tim Hortons,Fairview,True,38,3.6,219.0
49.2850471,-123.1120652,cafe,Tim Hortons,Downtown,True,38,3.5,344.0
49.2792354,-123.1227256,cafe,Tim Hortons,Downtown,True,38,3.4,680.0
49.2321736,-123.0312269,cafe,Tim Hortons,Renfrew-Collingwood,True,38,3.6,539.0
49.2092621,-123.1166316,cafe,Tim Hortons,Marpole,True,38,3.6,451.0
49.2874193,-123.1145811,cafe,Tim Hortons,Downtown,True,38,3.7,745.0
49.2721608,-123.0977203,cafe,Tim Hortons,Strathcona,True,38,3.7,1090.0
49.2776017,-123.1272193,cafe,Tim Hortons,Downtown,True,38,3.8,867.0
49.284954,-123.115582,cafe,Tim Hortons,Downtown,True,38,3.8,331.0
49.2809701,-123.107834,cafe,Tim Hortons,Downtown,True,38,3.7,756.0
49.2638336,-123.1407841,cafe,Tim Hortons,Fairview,True,38,3.2,423.0
49.2875882,-123.1216196,cafe,Tim Hortons,Downtown,True,38,4.2,22.0
49.249466,-123.1156479,cafe,Tim Hortons,South Cambie,True,38,3.1,254.0
49.2812759,-123.0464917,cafe,Tim Hortons,Hastings-Sunrise,True,38,3.8,166.0
49.2561422,-123.1855168,cafe,Tim Hortons,Dunbar-Southlands,True,38,3.3,380.0
49.2830656,-123.1164538,cafe,Tim Hortons,Downtown,True,38,3.8,331.0
49.2821466,-123.1185541,cafe,Tim Hortons,Downtown,True,38,3.8,149.0
49.2811807,-123.1242771,cafe,Tim Hortons,Downtown,True,38,3.8,327.0
49.2606832,-123.0332114,cafe,Tim Hortons,Renfrew-Collingwood,True,38,3.7,697.0
49.2255268,-123.1018603,cafe,Tim Hortons,Sunset,True,38,4.0,485.0
49.264044,-123.174166,cafe,Tim Hortons,Kitsilano,True,38,3.5,338.0
49.2873953,-123.1288386,restaurant,JoongWon,West End,False,1,3.8,477.0
49.2866244,-123.1282577,fast_food,Chongqing on Robson,West End,False,1,3.9,381.0
49.287665,-123.1292506,restaurant,Stepho's,West End,False,1,3.9,1318.0
49.2867409,-123.1284213,fast_food,A Taste of India,West End,False,1,3.5,371.0
49.2875709,-123.1291089,restaurant,Hon's Wun-Tun House,West End,False,1,3.9,237.0
49.2873728,-123.1282271,restaurant,miss KOREAN BBQ,West End,False,1,3.6,231.0
49.2871553,-123.1290789,restaurant,Forage,West End,False,1,4.5,1399.0
49.2870445,-123.128902,restaurant,Timber,West End,False,1,0.0,0.0
49.2874858,-123.1289807,restaurant,Miko Sushi,West End,False,1,4.3,423.0
49.2875631,-123.129718,restaurant,Cora,West End,True,1,4.3,1620.0
49.2866006,-123.1282087,cafe,Chatime,West End,True,5,3.7,416.0
49.2274296,-123.1168286,cafe,Chatime,Oakridge,True,5,4.0,404.0
49.2809895,-123.0488387,cafe,Chatime,Hastings-Sunrise,True,5,3.9,434.0
49.2310932,-123.155862,cafe,Chatime,Kerrisdale,True,5,4.0,282.0
49.2637917,-123.1400621,cafe,Chatime,Fairview,True,5,3.7,416.0
49.2865615,-123.1281828,fast_food,Pok'e Time,West End,False,1,4.3,1184.0
49.2864194,-123.1272344,cafe,Abode,West End,False,1,4.2,207.0
49.2866559,-123.1274985,pub,Shenanigans,West End,False,1,3.7,414.0
49.2623529,-123.0894813,restaurant,Hail Mary's,Mount Pleasant,False,1,4.6,188.0
49.2687109,-123.1186399,pub,The Wicklow Pub,Fairview,False,1,4.3,765.0
49.2821452,-123.0762115,bar,Callister Tasting Room,Grandview-Woodland,False,1,4.4,202.0
49.2833626,-123.0757512,bar,Powell Brewery Tasting Room,Grandview-Woodland,False,1,4.3,191.0
49.2724958,-123.0777288,bar,Strange Fellows Tasting Room,Strathcona,False,1,4.6,401.0
49.2821191,-123.1336624,restaurant,Ramen Koika,West End,False,2,4.6,48.0
49.2886307,-123.1306655,restaurant,Ramen Koika,West End,False,2,4.6,48.0
49.2814778,-123.1336029,cafe,Exile,West End,False,1,4.8,72.0
49.2094419,-123.1161616,pub,Dublin Crossing Irish Pub,Marpole,False,1,4.0,1046.0
49.2842686,-123.1197597,fast_food,Smokehouse Sandwich Co,Downtown,False,1,4.5,436.0
49.2641324,-123.1816701,cafe,Essentia Cafe,Kitsilano,False,1,3.5,6.0
49.2643451,-123.1757208,restaurant,Deacon's Corner,Kitsilano,False,2,4.3,577.0
49.2839422,-123.0998366,restaurant,Deacon's Corner,Downtown,False,2,4.4,676.0
49.2863279,-123.1256179,restaurant,Kirin Mandarin Restaurant,West End,False,1,3.7,851.0
49.2859935,-123.1250868,restaurant,Pink Elephant Thai,West End,False,1,3.3,493.0
49.2860548,-123.1251718,fast_food,A&W,West End,False,18,3.9,335.0
49.2633356,-123.1144174,fast_food,A&W,Mount Pleasant,False,18,3.9,548.0
49.2634886,-123.1215189,fast_food,A&W,Fairview,False,18,3.9,367.0
49.2267483,-123.128868,fast_food,A&W,Oakridge,False,18,4.0,411.0
49.2739585,-123.0980509,fast_food,A&W,Strathcona,True,18,3.9,161.0
49.2730334,-123.1003915,fast_food,A&W,Downtown,False,18,3.7,397.0
49.2831516,-123.1154178,fast_food,A&W,Downtown,False,18,3.8,429.0
49.2608512,-123.1161648,fast_food,A&W,Fairview,True,18,3.7,70.0
49.2625523,-123.0693702,fast_food,A&W,Grandview-Woodland,False,18,3.8,632.0
49.2896102,-123.1385336,fast_food,A&W,West End,False,18,4.0,314.0
49.2684742,-123.1859648,fast_food,A&W,West Point Grey,False,18,4.0,400.0
49.2880327,-123.1236171,fast_food,A&W,Downtown,False,18,4.1,360.0
49.2796191,-123.117481,fast_food,A&W,Downtown,True,18,3.9,273.0
49.2817133,-123.1206758,fast_food,A&W,Downtown,False,18,3.8,149.0
49.2093486,-123.1167129,fast_food,A&W,Marpole,False,18,4.0,488.0
49.2787971,-123.1234582,fast_food,A&W,Downtown,True,18,3.8,373.0
49.2192667,-123.0408347,fast_food,A&W,Killarney,True,18,4.1,437.0
49.2858989,-123.1122871,fast_food,A&W,Downtown,False,18,3.8,542.0
49.2860886,-123.1252316,fast_food,Subway,West End,True,55,3.7,100.0
49.29089,-123.1342671,fast_food,Subway,West End,True,55,3.4,79.0
49.2467974,-123.068237,fast_food,Subway,Kensington-Cedar Cottage,True,55,4.0,119.0
49.2633362,-123.113621,fast_food,Subway,Mount Pleasant,True,55,2.8,102.0
49.2332678,-123.1012746,fast_food,Subway,Riley Park,False,55,3.4,81.0
49.2764887,-123.1189668,fast_food,Subway,Downtown,True,55,4.2,155.0
49.2716748,-123.0947341,fast_food,Subway,Strathcona,True,55,3.0,46.0
49.2623856,-123.0570115,restaurant,Subway,Grandview-Woodland,False,55,3.6,69.0
49.2372522,-123.0325583,fast_food,Subway,Renfrew-Collingwood,True,55,3.1,135.0
49.2637503,-123.0242122,fast_food,Subway,Renfrew-Collingwood,False,55,3.9,206.0
49.2284031,-123.0908169,fast_food,Subway,Sunset,True,55,3.6,176.0
49.2808213,-123.0457204,fast_food,Subway,Hastings-Sunrise,True,55,3.9,114.0
49.2094689,-123.1164992,fast_food,Subway,Marpole,True,55,3.9,215.0
49.2484965,-123.0899419,fast_food,Subway,Kensington-Cedar Cottage,True,55,2.5,70.0
49.2616851,-123.0700316,fast_food,Subway,Kensington-Cedar Cottage,True,55,3.8,129.0
49.2352507,-123.1557393,fast_food,Subway,Arbutus-Ridge,True,55,4.0,98.0
49.263878,-123.205001,fast_food,Subway,West Point Grey,True,55,3.9,71.0
49.2632444,-123.1255405,fast_food,Subway,Fairview,True,55,3.3,54.0
49.2628323,-123.1032243,fast_food,Subway,Mount Pleasant,True,55,3.4,68.0
